,Location_name,Location_id,Latitude,Longitude
393,KIPTOPEKE_BEACH,636,37.16,-75.99
394,TOWNSVILLE_I,637,-19.25,146.83
395,REYKJAVIK,638,64.15,-21.94
396,TUMACO,639,1.83,-78.73
397,DUNAI,640,73.93,124.5
398,KOTELNYI,641,76.0,137.87
399,KIGILIAH,642,73.33,139.87
400,KOLOBRZEG,643,54.18,15.55
401,USTKA,644,54.58,16.87
402,WLADYSLAWOWO,645,54.8,18.42
403,ANDREIA,646,76.8,110.75
404,ZHELANIA_II,647,76.95,68.55
405,GEIBERGA,648,77.6,101.52
406,MUOSTAH,649,71.55,130.03
407,CHETYREHSTOLBOVOI,650,70.63,162.48
408,BOLVANSKII_NOS,651,70.45,59.08
409,PREOBRAZHENIA,652,74.67,112.93
410,POPOVA,653,73.33,70.05
411,RUSSKII,655,77.17,96.43
412,SOLNECHNAIA,656,78.2,103.27
413,SVIATOI_NOS,657,72.83,140.73
414,ZEMLIA_BUNGE,658,74.88,142.12
415,IZUHARA,661,34.2,129.3
416,PROVIDENIA,662,64.42,-173.23
417,MAIZURU_I,663,35.48,135.4
418,TACLOBAN,664,11.25,125.0
419,ENEWETOK,665,11.37,162.35
420,MARII_PRONCHISHEVOI,667,75.53,113.43
421,PUERTO_ARMUELLES,668,8.27,-82.87
422,TOKUYAMA_I,669,34.03,131.8
423,OMINATO,679,41.25,141.15
424,TROMSO,680,69.65,18.96
425,HARSTAD,681,68.8,16.55
426,KRISTIANSUND,682,63.11,7.73
427,BURNIE,683,-41.05,145.91
428,MURMANSK,684,68.97,33.05
429,SPLIT_RT_MARJANA,685,43.51,16.39
430,ACAPULCO,686,16.83,-99.92
431,MURMANSK_II,687,68.97,33.05
432,FULFORD_HARBOUR,688,48.77,-123.45
433,SALINA_CRUZ,689,16.17,-95.2
434,PROGRESO,690,21.3,-89.67
435,COATZACOALCOS,692,18.15,-94.42
436,GUAYMAS,693,27.92,-110.9
437,LA_PAZ,695,24.17,-110.35
438,MANGALORE,696,12.85,74.83
439,KAINAN,701,34.14,135.19
440,HANSTHOLM,703,57.12,8.6
441,VISE,704,79.5,76.98
442,UEDINENIA,707,77.5,82.2
443,BILLINGA,708,69.88,175.77
444,RUSSKAIA_GAVAN_II,710,76.18,62.58
445,RUSSKAYA_GAVAN,711,76.2,62.58
446,MAZATLAN,712,23.2,-106.42
447,ASAMUSHI,721,40.9,140.86
448,YOKOSUKA,722,35.29,139.65
449,DALIAN,723,38.87,121.68
450,SEMBAWANG,724,1.47,103.83
451,FREEPORT,725,28.95,-95.31
452,CANANEIA,726,-25.02,-47.93
453,XIAMEN,727,24.45,118.07
454,IZVESTIA_TSIK,728,75.95,82.95
455,GOLOMIANYI,729,79.55,90.62
456,AION,730,69.93,167.98
457,YANTAI,731,37.53,121.38
458,MORZHOVAIA,732,71.42,67.58
459,ISACHENKO,734,77.15,89.2
460,BUORHAIA,735,71.95,132.77
461,KOSYSTYI,736,73.65,109.73
462,MANZANILLO,737,19.05,-104.33
463,KRASNOFLOTSKIE,738,78.6,98.83
464,NEZUGASEKI,752,38.56,139.55
465,KASHIWAZAKI,753,37.36,138.51
466,LOWESTOFT,754,52.47,1.75
467,MILLPORT,755,55.75,-4.91
468,NAWILIWILI_BAY,756,21.95,-159.35
469,UNALASKA,757,53.88,-166.54
470,HAMMERFEST,758,70.66,23.68
471,MAGUEYES_ISLAND,759,17.97,-67.05
472,DUBROVNIK,760,42.66,18.06
473,ROVINJ,761,45.08,13.63
474,RODBYHAVN,762,54.66,11.35
475,LA_CORUNA_II,763,43.36,-8.4
476,LA_PALOMA,764,-34.65,-54.15
477,BIRKENHEAD,765,53.4,-3.02
478,NEWPORT_BAY,766,33.6,-117.88
479,TADIBE-IAHA,767,70.37,72.57
480,ALVARADO,768,18.77,-95.77
481,MONBETU_I,772,44.35,143.37
482,SANDWICH_MARINA,775,41.77,-70.5
483,BUZZARDS_BAY,776,41.74,-70.62
484,REEDY_POINT,786,39.56,-75.57
485,NELSON,787,-41.26,173.27
486,MONACO,788,43.73,7.42
487,KIEL-HOLTENAU,789,54.37,10.16
488,TERPIAI-TUMSA,790,73.55,118.67
489,LEIXOES,791,41.18,-8.7
490,VALKARKAI,792,70.08,170.93
491,ENSENADA,795,31.85,-116.63
492,CIUDAD_DEL_CARMEN,796,18.63,-91.85
493,SHIMIZU-MINATO,808,35.01,138.52
494,KOMATSUSHIMA,809,34.01,134.59
495,MISUMI,810,32.62,130.45
496,SAKAI,811,35.55,133.24
497,UNO,812,34.49,133.95
498,HAKODATE_I,813,41.78,140.72
499,ABURATSU,814,31.58,131.41
500,TOSA_SHIMIZU,815,32.78,132.96
501,WAKAYAMA,816,34.22,135.15
502,TAN-NOWA,817,34.34,135.18
503,LORD_HOWE_ISLAND,818,-31.52,159.07
504,MAR_DEL_PLATA,819,-38.03,-57.52
505,PORT_ELIZABETH,820,-33.95,25.63
506,NORFOLK_ISLAND,821,-29.06,167.95
507,BRISBANE,822,-27.37,153.17
508,MOKUOLOE_ISLAND,823,21.43,-157.79
509,PETROPAVLOVSK-KAMCHATSKY,824,52.98,158.65
510,GLADSTONE,825,-23.85,151.31
511,SIMONS_BAY,826,-34.19,18.44
512,NAGAEVO,827,59.55,150.72
513,GALVESTON_I,828,29.29,-94.79
514,QUEEN_CHARLOTTE_CITY,829,53.25,-132.07
515,LERWICK,830,60.15,-1.14
516,PORT_KEMBLA,831,-34.47,150.91
517,PALERMO,832,-34.57,-58.4
518,EDEN,833,-37.07,149.91
519,BUNBURY,834,-33.32,115.66
520,KARUMBA,835,-17.5,140.83
521,PORT_NOLLOTH,836,-29.26,16.87
522,NEWCASTLE_V,837,-32.92,151.79
523,HOBART,838,-42.88,147.34
524,TORSHAVN,839,62.02,-6.77
525,HONDAU,841,20.67,106.8
526,PORT_RENFREW,842,48.55,-124.42
527,SANTA_CRUZ_DAS_FLORES,843,39.45,-31.12
528,SHIMONOSEKI_I,845,33.97,130.95
529,KOBE,846,34.68,135.18
530,TAKAMATSU,847,34.35,134.05
531,PORT_JEFFERSON,848,40.95,-73.08
532,NOUMEA-CHALEIX,852,-22.3,166.43
533,NEW_ROCHELLE,856,40.89,-73.78
534,MAR_DEL_PLATA,857,-38.03,-57.53
535,BELYI_NOS,859,69.6,60.22
536,NAGOYA,860,35.08,136.88
537,MOSSEL_BAY,910,-34.18,22.14
538,LUDERITZ,911,-26.64,15.15
