model,quantile,region,scenario,unit,variable,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
REMIND-MAGPIE,0.975,World,ssp585,ppm,Atmospheric Concentrations|CO2,312.821,313.014,313.342,313.73,314.095,314.415,314.698,314.992,315.345,315.807,316.625,317.299,318.044,318.65,319.333,319.816,320.88,321.48,322.389,323.251,324.783,325.4,327.349,329.909,330.756,330.827,331.545,333.353,335.01,336.605,338.705,340.059,340.644,342.266,344.008,345.459,346.903,348.775,351.276,352.894,354.073,355.353,356.229,356.925,358.254,360.239,362.005,363.252,365.933,367.845,369.125,370.673,372.835,375.411,376.987,378.907,381.01,382.603,384.739,386.28,388.717,390.944,393.016,395.725,397.547,399.949,402.635808,405.3982263,408.2378885,411.150323,414.1371353,417.2008793,420.3732713,423.6521543,427.0395405,430.536756,434.1453175,437.8633625,441.6889305,445.6195025,449.6545748,453.7937975,458.0611548,462.454106,466.9717563,471.6131405,476.3817803,481.2799988,486.3119835,491.4779595,496.7790093,502.2152855,507.7990803,513.5275563,519.4000085,525.4169878,531.5798115,537.8915615,544.35629,550.978146,557.7482015,564.669506,571.7726323,579.0535845,586.5106313,594.1408678,601.943333,609.9210373,618.071752,626.4023095,634.9250008,643.623289,652.512859,661.574438,670.8104373,680.2465125,689.8572955,699.6458668,709.6382775,719.8187703,730.1866173,740.7872798,751.5135705,762.4421005,773.5294478,784.7702988,796.2082128,807.8237493,819.5644915,831.4947783,843.631867,855.8908228,868.216402,880.557978,892.9624005,905.3983573,917.9148055,930.483468,943.0640603,955.7171358,968.4253825,981.1503243,993.8990215,1006.597818,1019.294635,1032.006368,1044.694365,1057.422795,1070.1115,1082.791603,1095.49952
AIM/CGE,0.975,World,ssp370,W / m^2,Effective Radiative Forcing,0.812643715,0.81378414,0.793600171,0.794424539,0.799015497,0.816064481,0.827619259,0.847432267,0.909740107,0.901776064,0.894771887,0.740809351,0.455901822,0.15356228,0.373030894,0.643182318,0.77993696,0.745891993,0.867610984,0.930805064,0.902789462,0.933475921,0.99903,1.10971103,0.994877071,1.010440043,1.105387353,1.231489025,1.315281793,1.381577495,1.39832372,1.369090643,1.011189305,1.081349333,1.298250778,1.416187683,1.477954048,1.515023848,1.646737423,1.789495683,1.604541653,0.831388592,0.816792413,1.300439468,1.579422853,1.763838055,1.875663455,1.767774913,1.914559388,2.096921475,2.148570903,2.162176333,2.122078323,2.135661793,2.133470688,2.111044978,2.147550863,2.169480525,2.276071715,2.318470085,2.305354073,2.435259145,2.459411233,2.557867498,2.537297865,2.569653303,2.574677215,2.609974508,2.64896399,2.692951915,2.741496668,2.812065893,2.882293825,2.941327735,2.99635353,3.037629755,3.077659013,3.117872203,3.168551095,3.215074063,3.26778718,3.321682925,3.38214122,3.455602263,3.539784025,3.601457238,3.671399365,3.71881607,3.77729889,3.820182758,3.86447516,3.911257755,3.967237818,4.028721473,4.096648313,4.180192695,4.255977898,4.333660658,4.394936358,4.439961955,4.478677128,4.530848148,4.582616538,4.637385893,4.702452785,4.778455645,4.85764607,4.920164623,4.985065988,5.049363455,5.097517293,5.148184213,5.201245073,5.260855913,5.322755315,5.39024094,5.472349463,5.552381005,5.624860193,5.68426947,5.73726679,5.786136093,5.842926333,5.901738273,5.958226403,6.019479885,6.080818585,6.149627405,6.226079753,6.30348141,6.37671627,6.441645225,6.505491035,6.560737628,6.621304125,6.672228068,6.729857293,6.794985885,6.862010868,6.9390482,7.023868753,7.104356835,7.188904725,7.248790955,7.301572473,7.357698713,7.412012538,7.47572632,7.540050313,7.615149368,7.69480459
AIM/CGE,0.975,World,ssp370-lowNTCF-aerchemmip,W / m^2,Effective Radiative Forcing,0.794133536,0.796894357,0.775843004,0.776194503,0.780209967,0.796565577,0.80600166,0.823769965,0.887594396,0.879388607,0.8715868,0.713797235,0.429595233,0.124684738,0.345412295,0.614579513,0.75041528,0.71480239,0.836888592,0.899580225,0.869209477,0.900317489,0.962705947,1.074383053,0.958928763,0.97604308,1.06877705,1.19462242,1.277966893,1.344245015,1.36019856,1.33242411,0.971639541,1.045180103,1.261322708,1.378669528,1.440125553,1.474343535,1.60625263,1.750843618,1.565232585,0.785985629,0.777864388,1.259380308,1.53413087,1.72025244,1.83555666,1.72047773,1.867403455,2.0558722,2.109457825,2.123260078,2.07954449,2.092625013,2.089708298,2.06571467,2.102812653,2.123764713,2.233849085,2.276959408,2.260796433,2.393422943,2.41590619,2.515731415,2.493581043,2.527642148,2.54363492,2.5849388,2.630141813,2.680573475,2.737150498,2.81750263,2.89596403,2.96376294,3.027919683,3.078644858,3.128409943,3.178691185,3.239759955,3.296969665,3.360642905,3.425600853,3.498638675,3.584790225,3.681747408,3.756365338,3.839417085,3.900088643,3.971946938,4.02838398,4.088319365,4.152941688,4.225911163,4.304745185,4.390406935,4.492046365,4.586264293,4.68280659,4.763415123,4.828127908,4.875947195,4.926006845,4.982376918,5.041631408,5.11104268,5.191248315,5.2745063,5.340953045,5.40964585,5.477605068,5.529258938,5.58324397,5.639415168,5.702050998,5.766894343,5.837243273,5.922137743,6.004879218,6.080000783,6.141982298,6.19737015,6.248436318,6.307419793,6.368375708,6.426966513,6.490278535,6.55363811,6.624436335,6.702931603,6.782417198,6.8579647,6.925482453,6.991444063,7.048787688,7.111470028,7.164445775,7.224029418,7.29100072,7.359807715,7.438520675,7.524556365,7.60573601,7.690985548,7.751747175,7.805022613,7.86187368,7.917050438,7.981455828,8.046325638,8.121900355,8.20151191
AIM/CGE,0.975,World,ssp370-lowNTCF-gidden,W / m^2,Effective Radiative Forcing,0.79425711,0.79701925,0.77596835,0.77632009,0.78033595,0.79669209,0.80612888,0.82389799,0.88772345,0.87951933,0.87171954,0.71393182,0.42972986,0.12481891,0.34554329,0.6147039,0.75053402,0.7149199,0.83700902,0.89970273,0.86933489,0.90044621,0.96283814,1.0745177,0.95906707,0.97618633,1.0689244,1.1947707,1.278119,1.344403,1.3603634,1.3325959,0.97181788,1.0453625,1.2615051,1.3788488,1.4403077,1.4745319,1.6064471,1.7510451,1.5654427,0.78620474,0.77808813,1.2596014,1.53434,1.7204594,1.8357716,1.7207035,1.8676379,2.0561153,2.1097116,2.1235248,2.0798194,2.0929083,2.0899988,2.0660119,2.1031161,2.1240739,2.2341641,2.277281,2.2611253,2.3937588,2.4162497,2.5160824,2.4939404,2.5280097,2.543941,2.5846729,2.62883,2.6777751,2.7324846,2.8106196,2.883502698,2.94262221,2.99522036,3.03170865,3.064743338,3.095958595,3.135746225,3.1695605,3.207800258,3.245368313,3.291323095,3.350656563,3.4210178,3.46924074,3.526057355,3.560629455,3.606495278,3.637035005,3.671152738,3.710022763,3.757990155,3.81253459,3.874575818,3.95323033,4.025043388,4.099708593,4.159066083,4.203063605,4.230710325,4.26105631,4.2985967,4.33984586,4.392026888,4.455734058,4.52318692,4.574484528,4.628642058,4.682640503,4.720870983,4.761931348,4.80540828,4.85557082,4.908155948,4.966457148,5.03950853,5.110610258,5.174287075,5.225019195,5.269338473,5.309502713,5.358065705,5.409049855,5.458077503,5.512215365,5.566765713,5.629090593,5.699347365,5.770830505,5.83860837,5.898615055,5.957118685,6.007083753,6.062469445,6.108240848,6.160702663,6.220657048,6.282537003,6.354447973,6.433758765,6.508323058,6.587095998,6.641503683,6.688940703,6.739949718,6.78949643,6.84845197,6.907985568,6.978286298,7.05285635
GCAM4,0.975,World,ssp434,W / m^2,Effective Radiative Forcing,0.788607831,0.790701341,0.769590843,0.769911888,0.773914993,0.789675933,0.798627023,0.816217581,0.879908455,0.871443805,0.863344409,0.704937316,0.420315261,0.115224816,0.335408931,0.604537096,0.740344779,0.705064733,0.826697956,0.889212352,0.858601347,0.889532185,0.951978469,1.062937598,0.947849795,0.965085817,1.057218593,1.183055593,1.266227903,1.332183663,1.348532653,1.321088718,0.960810458,1.034150655,1.250322053,1.367669888,1.429186128,1.463496118,1.595229843,1.739708938,1.554226628,0.775955049,0.768227491,1.25030255,1.526011483,1.712432715,1.827686128,1.713768775,1.86060427,2.049460993,2.10312148,2.116687518,2.072985308,2.085662723,2.082640793,2.058419773,2.094951748,2.116314123,2.226085295,2.269980325,2.254114243,2.386182938,2.408887785,2.50921611,2.487092723,2.521951313,2.53864739,2.579135918,2.62216078,2.668447993,2.71769462,2.786863658,2.8538143,2.9066123,2.9525265,2.9813446,3.0062094,3.0288766,3.0597944,3.0844525,3.1132635,3.1413094,3.1757817,3.2227433,3.2798554,3.313888,3.3556193,3.3742381,3.4033054,3.4161861,3.4308314,3.4483162,3.4738568,3.5039988,3.5397252,3.5902341,3.6321364,3.6751644,3.7010673,3.7099187,3.7077206,3.7141935,3.7223682,3.7333077,3.7542707,3.7858989,3.8204407,3.8380226,3.8576731,3.8764161,3.8757464,3.8741705,3.8759586,3.883963,3.8939131,3.9091018,3.9385634,3.9656012,3.9847454,3.9904796,3.9903666,3.9867324,3.9886838,3.9917584,3.9916299,3.9954327,3.9985091,4.0082694,4.0248974,4.0417356,4.057717,4.0690969,4.0751061,4.0713582,4.0718578,4.0615935,4.0568758,4.0585757,4.0611591,4.0727543,4.0893605,4.0989221,4.1124893,4.1005755,4.0806058,4.0631885,4.0432703,4.0317566,4.0198756,4.0179195,4.0112321
GCAM4,0.975,World,ssp460,W / m^2,Effective Radiative Forcing,0.788607831,0.790701341,0.769590843,0.769911888,0.773914993,0.789675933,0.798627023,0.816217581,0.879908455,0.871443805,0.863344409,0.704937316,0.420315261,0.115224816,0.335408931,0.604537096,0.740344779,0.705064733,0.826697956,0.889212352,0.858601347,0.889532185,0.951978469,1.062937598,0.947849795,0.965085817,1.057218593,1.183055593,1.266227903,1.332183663,1.348532653,1.321088718,0.960810458,1.034150655,1.250322053,1.367669888,1.429186128,1.463496118,1.595229843,1.739708938,1.554226628,0.775955049,0.768227491,1.25030255,1.526011483,1.712432715,1.827686128,1.713768775,1.86060427,2.049460993,2.10312148,2.116687518,2.072985308,2.085662723,2.082640793,2.058419773,2.094951748,2.116314123,2.226085295,2.269980325,2.254114243,2.386182938,2.408887785,2.50921611,2.487092723,2.521951313,2.53864739,2.579135918,2.62216078,2.668447993,2.71475052,2.777976455,2.8442421,2.8997441,2.9515005,2.9889276,3.0251127,3.0616543,3.1088693,3.152133,3.2017128,3.2525265,3.3096661,3.3793552,3.4593444,3.5165239,3.5816345,3.6238823,3.6768644,3.7139481,3.7532471,3.7958391,3.8462795,3.9015054,3.9625092,4.0383938,4.1057954,4.1744428,4.2260965,4.2608605,4.2881244,4.3276673,4.3672173,4.409014,4.4604297,4.5221526,4.5864719,4.6335469,4.6824414,4.7302072,4.7614312,4.7946994,4.8295634,4.8702069,4.9124086,4.9594952,5.0205206,5.0788347,5.1289901,5.1654894,5.1966556,5.2249147,5.2587945,5.2935818,5.3249627,5.3601108,5.3944007,5.4352498,5.4828434,5.5305562,5.572115,5.6035573,5.6332718,5.6535639,5.6784152,5.6928016,5.7130304,5.7399428,5.7679916,5.8052936,5.8471747,5.8814883,5.919627,5.9324879,5.9375078,5.945294,5.9508045,5.9649485,5.9789624,6.0031033,6.0273358
IMAGE,0.975,World,ssp119,W / m^2,Effective Radiative Forcing,0.75889861,0.766120436,0.742955438,0.742036235,0.744717142,0.759926189,0.765067027,0.778000583,0.845352805,0.836874924,0.827690022,0.659812105,0.378013847,0.067256893,0.291395833,0.557769413,0.690920928,0.651115705,0.774445228,0.835746545,0.799539668,0.832623064,0.887123862,1.00185928,0.884464713,0.90548903,0.99365425,1.118683283,1.201815395,1.26865808,1.281788158,1.257104263,0.888470643,0.970678648,1.185012968,1.301042048,1.3616609,1.389062485,1.522077535,1.671330863,1.484343448,0.688704006,0.695065964,1.170734998,1.43387066,1.623750855,1.747860313,1.61322396,1.761815013,1.963730455,2.021321828,2.036214515,1.984767903,1.997319583,1.991777355,1.963800745,2.003950775,2.021856453,2.141945913,2.185518048,2.162071555,2.30236657,2.321239523,2.422674468,2.397328538,2.432651008,2.473006958,2.526519505,2.581125098,2.638318938,2.699898155,2.78397296,2.85964546,2.920352218,2.97322346,3.009132958,3.040545285,3.06930427,3.105989318,3.136198288,3.148913748,3.13739122,3.14395668,3.162731043,3.191253425,3.19603344,3.208014463,3.19640203,3.19472492,3.176357218,3.15715168,3.137956353,3.128350563,3.123888083,3.12546434,3.142190585,3.150727815,3.16080232,3.154117873,3.130712303,3.094934975,3.066074923,3.041314993,3.019988845,3.009301318,3.009831585,3.013751128,3.00112859,2.990971418,2.980256833,2.952914608,2.92740044,2.90487708,2.888919288,2.875247088,2.867139983,2.873616515,2.87797251,2.874730265,2.858354908,2.83631931,2.810858543,2.79301647,2.776966938,2.75835947,2.744293228,2.730094793,2.72314604,2.723619945,2.724838173,2.721372368,2.709225195,2.69549751,2.672916458,2.655426195,2.62797594,2.606862115,2.592876558,2.5804607,2.577730045,2.58266738,2.583119093,2.587444353,2.566854988,2.538893943,2.514105303,2.48741497,2.46971405,2.452237973,2.445238528,2.440027605
IMAGE,0.975,World,ssp126,W / m^2,Effective Radiative Forcing,0.76029103,0.7676089,0.7444432,0.74352662,0.74621352,0.76153621,0.76678373,0.77975374,0.8471309,0.83872772,0.82961881,0.66180762,0.38008468,0.069359815,0.29358394,0.55994418,0.69307945,0.65320534,0.77661779,0.83794871,0.80178775,0.83493618,0.88943198,1.0043052,0.88684698,0.90787194,0.99614217,1.121173,1.2043584,1.2712766,1.2843382,1.2595933,0.89084012,0.97310157,1.1874553,1.3034828,1.3640938,1.3915142,1.5245902,1.6738825,1.4869162,0.69109647,0.69740339,1.1729621,1.4358969,1.6257432,1.7498911,1.6150398,1.7636787,1.965511,2.0231005,2.0380545,1.9866123,1.9992682,1.9937473,1.9658054,2.0060657,2.02391,2.1441008,2.1875473,2.1640562,2.3044668,2.3233246,2.4246709,2.3993374,2.4347501,2.4746196,2.5267089,2.5795257,2.6345834,2.6879326,2.7569704,2.825743,2.881768368,2.93193127,2.96677772,2.998728535,3.02942771,3.069290855,3.103774043,3.13334147,3.152282755,3.183954538,3.227114108,3.279450918,3.307829325,3.34307967,3.354417413,3.375421908,3.379513288,3.380928178,3.380717003,3.38953969,3.403238735,3.422689233,3.457062213,3.482971938,3.51013405,3.52027709,3.513456398,3.495410718,3.485530438,3.478153605,3.473371265,3.478430563,3.493965988,3.512224375,3.513328455,3.51629953,3.518149045,3.502074518,3.486666553,3.473086298,3.465603505,3.45994763,3.459404328,3.472991115,3.484018155,3.487019635,3.476465898,3.45958806,3.43867664,3.424385578,3.411297178,3.39506448,3.382811935,3.369874255,3.363647183,3.364297023,3.3651647,3.360516413,3.346246378,3.331267435,3.307650045,3.28931311,3.261173323,3.239501395,3.225075365,3.212314363,3.209319058,3.21408826,3.214470003,3.219501608,3.200248083,3.174117105,3.151641575,3.12773499,3.113274033,3.099542873,3.096820815,3.094628465
MESSAGE-GLOBIOM,0.975,World,ssp245,W / m^2,Effective Radiative Forcing,0.77013115,0.77469609,0.75251605,0.75215401,0.75552014,0.77058269,0.77725328,0.79227653,0.85782861,0.8490896,0.84021318,0.67628041,0.39286361,0.084671864,0.30651845,0.57412223,0.70848091,0.67104946,0.79323475,0.85495641,0.82114242,0.85305458,0.91128856,1.0237197,0.90770175,0.92710336,1.0168346,1.1422721,1.2253795,1.2916507,1.3065343,1.2809425,0.91683829,0.99483282,1.210142,1.3268343,1.3879803,1.4187709,1.5511403,1.698089,1.5119887,0.72545643,0.72535835,1.2044551,1.4741889,1.6626685,1.7825886,1.6584954,1.8062632,2.0022395,2.058021,2.0721797,2.0245064,2.0368861,2.0324173,2.0060328,2.044164,2.0640443,2.1791881,2.2235322,2.2039607,2.3400261,2.360958,2.4621979,2.4384615,2.4739145,2.5032682,2.5518829,2.602618,2.6568062,2.704238,2.7617628,2.824344198,2.875267493,2.921378323,2.952357338,2.981182668,3.0094667,3.047555265,3.080860388,3.123069725,3.169275143,3.220166903,3.283288843,3.356383215,3.406390415,3.464066648,3.498617415,3.54363669,3.572528365,3.602522658,3.634644078,3.675919585,3.72201149,3.773914348,3.840840983,3.899408503,3.959353543,4.002428,4.028678748,4.044750035,4.070522415,4.096466305,4.124724048,4.162584553,4.210736905,4.261464335,4.29492015,4.330155515,4.364222003,4.380673163,4.398241555,4.417550443,4.442914553,4.470078578,4.50234117,4.5487308,4.592576498,4.628416725,4.650732655,4.665454015,4.674766503,4.69173062,4.709715603,4.724385425,4.742879598,4.760546448,4.784792833,4.81579654,4.846903463,4.873654418,4.892069368,4.907774245,4.914012735,4.92474976,4.924948615,4.930904375,4.943442848,4.957009315,4.979714635,5.00655526,5.025357103,5.048678955,5.04688584,5.037401453,5.030792973,5.021989255,5.021887365,5.02171864,5.031730928,5.044441085
REMIND-MAGPIE,0.975,World,ssp534-over,W / m^2,Effective Radiative Forcing,0.758736549,0.762852564,0.740688738,0.740379347,0.743536672,0.758034323,0.763800852,0.778543973,0.844053063,0.834854797,0.825368961,0.661953612,0.378194617,0.06971875,0.291459011,0.559368004,0.694051993,0.656956501,0.778919928,0.840669408,0.806831106,0.838099538,0.896382848,1.008272608,0.892487856,0.911589159,1.000676165,1.126092408,1.208530683,1.274223923,1.289618593,1.264190445,0.90054881,0.978064289,1.192859955,1.30942232,1.370507843,1.40070819,1.53239678,1.679099155,1.492337018,0.706282014,0.706835485,1.186391013,1.457027208,1.645429738,1.765031023,1.64210745,1.789163585,1.98621291,2.042237025,2.055942615,2.007843843,2.019421248,2.015174245,1.988865753,2.026241678,2.046259388,2.16025428,2.205029715,2.1853322,2.320803778,2.341324208,2.443330045,2.419205255,2.45300105,2.488402993,2.54945839,2.61340129,2.681710765,2.745680318,2.822990603,2.9013673,2.9702254,3.0362251,3.0895196,3.1425025,3.1965765,3.2619864,3.3240472,3.3870053,3.4458159,3.5157486,3.600213,3.6968121,3.7722323,3.8571467,3.9206657,3.9963136,4.0573627,4.1315563,4.2210464,4.3015253,4.3799079,4.4577667,4.5447886,4.6179364,4.687329,4.7351385,4.7616975,4.7676922,4.772092,4.7770704,4.781154,4.7916614,4.8093944,4.8266902,4.8237354,4.8195848,4.8113655,4.7806521,4.7460756,4.7142909,4.6887972,4.6652073,4.646692,4.6421511,4.634849,4.6192391,4.5897212,4.5495208,4.5006889,4.4627729,4.427426,4.3901738,4.358016,4.3261793,4.3019645,4.2854523,4.2699136,4.2488491,4.2177988,4.1875327,4.1489863,4.1160551,4.0736463,4.0380119,4.0099306,3.9839541,3.9681384,3.9586806,3.9434397,3.9332189,3.8986172,3.8570369,3.8189954,3.7793898,3.7491013,3.719352,3.7003662,3.6878763
REMIND-MAGPIE,0.975,World,ssp585,W / m^2,Effective Radiative Forcing,0.758736479,0.762852474,0.740688638,0.740379247,0.743536572,0.758034223,0.763800742,0.778543862,0.844052944,0.834854687,0.825368861,0.661953493,0.378194497,0.069718627,0.291458881,0.559367874,0.694051863,0.656956371,0.778919788,0.840669277,0.806830976,0.838099418,0.896382728,1.008272508,0.892487736,0.911589039,1.000676063,1.126092215,1.208530575,1.274223823,1.289618485,1.264190253,0.90054864,0.97806411,1.192859848,1.30942212,1.370507643,1.40070799,1.53239658,1.679098955,1.492336818,0.706281804,0.706835285,1.186390813,1.457027008,1.645429538,1.765030823,1.64210725,1.789163478,1.98621271,2.042236825,2.055942415,2.007843643,2.019421048,2.015174053,1.988865553,2.026241478,2.046259188,2.16025408,2.205029515,2.185332,2.320803578,2.341324008,2.443329845,2.419205055,2.45300085,2.488402893,2.54945819,2.61340089,2.681710158,2.745679418,2.822989303,2.901327998,2.97013988,3.03609281,3.089340145,3.142274715,3.196299043,3.261657843,3.323666365,3.38657133,3.445327715,3.515206245,3.599616595,3.696161713,3.771528355,3.856389505,3.919855395,3.995449735,4.05644469,4.121140813,4.19088163,4.26911181,4.353706663,4.445578335,4.553853755,4.65513468,4.759057575,4.84740791,4.920277415,4.981245573,5.049758033,5.122430483,5.19847675,5.285204413,5.383226998,5.484801128,5.570089238,5.658092023,5.745840148,5.820202163,5.899813275,5.97995005,6.066925845,6.156508663,6.25221971,6.362852808,6.471721375,6.573536108,6.662584795,6.747254385,6.830319408,6.9198544,7.01140895,7.100281485,7.193540698,7.286868205,7.387497285,7.49520109,7.603799148,7.710523413,7.810949728,7.906007253,7.99080721,8.079684223,8.157423158,8.24069104,8.33017684,8.420106823,8.519048165,8.624694645,8.72495446,8.827470098,8.903990013,8.972231628,9.042916478,9.11077799,9.187145855,9.262795938,9.348246475,9.427793228
AIM/CGE,0.975,World,ssp370,W / m^2,Effective Radiative Forcing|Aerosols,-0.53043964,-0.50016779,-0.5202375,-0.52924468,-0.54366142,-0.56375738,-0.62069189,-0.66806139,-0.63002154,-0.63582301,-0.65860376,-0.73850909,-0.72970622,-0.79280361,-0.7674143,-0.78526632,-0.8012552,-0.8340418,-0.82799224,-0.83629826,-0.88696854,-0.88505394,-0.95444988,-0.93665079,-0.9470407,-0.91295364,-0.97188294,-0.97472262,-0.99354248,-0.99987968,-1.0098009,-0.97378092,-1.0336508,-0.96162139,-0.98001695,-0.9947305,-1.0008818,-1.0682928,-1.0700247,-1.0302227,-1.0483598,-1.176191,-1.0162958,-1.0584248,-1.1419448,-1.0989823,-1.023895,-1.1674764,-1.1821803,-1.0275014,-0.97499451,-0.97546614,-1.0686132,-1.0855903,-1.088871,-1.1192803,-1.1203302,-1.1341326,-1.0708877,-1.0419682,-1.1117579,-1.058895,-1.1037596,-1.0539252,-1.0985803,-1.0864847,-1.0905346,-1.0945786,-1.0986082,-1.102548,-1.1062508,-1.1092244,-1.1121905,-1.1151529,-1.1181135,-1.1210712,-1.1240222,-1.1269687,-1.1299131,-1.1328556,-1.1350701,-1.1364045,-1.1377387,-1.1390727,-1.1404029,-1.1417326,-1.1430631,-1.1443925,-1.1457193,-1.1470457,-1.1478993,-1.1481613,-1.1484222,-1.1486826,-1.148944,-1.1492046,-1.1494649,-1.1497251,-1.1499849,-1.1502454,-1.1488304,-1.1456205,-1.1423997,-1.1391719,-1.1359416,-1.1327049,-1.1294576,-1.1262034,-1.1229464,-1.1196826,-1.1163062,-1.1127727,-1.1092363,-1.1056929,-1.1021375,-1.0985739,-1.0950089,-1.0914363,-1.0878509,-1.084258,-1.0805806,-1.0767822,-1.07297,-1.0691493,-1.0653252,-1.0614919,-1.0576455,-1.0537906,-1.0499321,-1.0460646,-1.0426172,-1.0397761,-1.0369339,-1.0340867,-1.0312301,-1.0283684,-1.0255047,-1.0226368,-1.0197601,-1.0168773,-1.013464,-1.0095264,-1.0055751,-1.0016151,-0.99765046,-0.99367792,-0.98969041,-0.98569387,-0.98169352,-0.97768378,-0.97778208
AIM/CGE,0.975,World,ssp370-lowNTCF-aerchemmip,W / m^2,Effective Radiative Forcing|Aerosols,-0.55517526,-0.52342762,-0.54441547,-0.55384311,-0.56890696,-0.58996755,-0.64956596,-0.69915441,-0.65932525,-0.66544097,-0.68930152,-0.77302144,-0.76382039,-0.82987159,-0.80333316,-0.82202845,-0.83876592,-0.87305728,-0.86674684,-0.87545642,-0.92852827,-0.92653873,-0.99919686,-0.98060166,-0.9914458,-0.95571979,-1.0173917,-1.0203423,-1.0400144,-1.0466314,-1.0570134,-1.0192246,-1.0817813,-1.0063434,-1.0255558,-1.0409355,-1.0473416,-1.1178778,-1.1196601,-1.0779838,-1.0969325,-1.230609,-1.0632372,-1.1072978,-1.1946708,-1.1496676,-1.071052,-1.2213074,-1.2366818,-1.0747569,-1.0197864,-1.0202722,-1.1177336,-1.1355038,-1.1389444,-1.1707896,-1.1718707,-1.1862615,-1.1200099,-1.089672,-1.1626739,-1.1073365,-1.154255,-1.1020692,-1.1487888,-1.1345048,-1.1261388,-1.1177478,-1.1093419,-1.1008267,-1.090385,-1.0773749,-1.0642818,-1.0510855,-1.0377675,-1.0243437,-1.0108301,-0.99720639,-0.98345201,-0.96958258,-0.9548744,-0.93936843,-0.92371018,-0.90791647,-0.89200651,-0.875957,-0.85974164,-0.84337852,-0.82688817,-0.81024399,-0.79105824,-0.76909823,-0.74689315,-0.72440345,-0.70158918,-0.67846869,-0.65506537,-0.63133699,-0.60723901,-0.58278833,-0.56809618,-0.5638397,-0.55956529,-0.55527774,-0.55098448,-0.5466784,-0.54235355,-0.53801774,-0.53367494,-0.5293196,-0.52488526,-0.52035524,-0.51581817,-0.51126599,-0.50669316,-0.5021071,-0.49751421,-0.49290702,-0.48827852,-0.48363533,-0.47904947,-0.47450748,-0.4699456,-0.46536829,-0.46078347,-0.45618418,-0.45156302,-0.44692851,-0.44228488,-0.43762639,-0.43315512,-0.42895681,-0.42475236,-0.42053521,-0.41629938,-0.41205102,-0.40779578,-0.40352597,-0.3992373,-0.39493716,-0.39057105,-0.38614382,-0.38169586,-0.37723304,-0.37276044,-0.36827453,-0.36376747,-0.35924528,-0.35471485,-0.3501683,-0.35021352
